"","country","year","risk_factor","totalcase"
"482","Hungary",2019,"dia",44
"483","Iceland",2019,"dia",0
"484","India",2019,"dia",192000
"485","Indonesia",2019,"dia",51000
"486","Iran (Islamic Republic of)",2019,"dia",1140
"487","Iraq",2019,"dia",2230
"488","Ireland",2019,"dia",15
"489","Israel",2019,"dia",14
"490","Italy",2019,"dia",245
"491","Jamaica",2019,"dia",5
"492","Japan",2019,"dia",1100
"493","Jordan",2019,"dia",79
"494","Kazakhstan",2019,"dia",1380
"495","Kenya",2019,"dia",7100
"496","Kiribati",2019,"dia",82
"497","Kuwait",2019,"dia",157
"498","Kyrgyzstan",2019,"dia",650
"499","Lao People's Democratic Republic",2019,"dia",740
"500","Latvia",2019,"dia",32
"501","Lebanon",2019,"dia",99
"502","Lesotho",2019,"dia",1040
"503","Liberia",2019,"dia",940
"504","Libya",2019,"dia",530
"505","Lithuania",2019,"dia",86
"506","Luxembourg",2019,"dia",2
"507","Madagascar",2019,"dia",3010
"508","Malawi",2019,"dia",1430
"509","Malaysia",2019,"dia",2980
"510","Maldives",2019,"dia",18
"511","Mali",2019,"dia",670
"512","Malta",2019,"dia",3
"513","Marshall Islands",2019,"dia",28
"514","Mauritania",2019,"dia",311
"515","Mauritius",2019,"dia",15
"516","Mexico",2019,"dia",2990
"517","Micronesia (Federated States of)",2019,"dia",16
"518","Mongolia",2019,"dia",1320
"519","Montenegro",2019,"dia",5
"520","Morocco",2019,"dia",4200
"521","Mozambique",2019,"dia",4620
"522","Myanmar",2019,"dia",9500
"523","Namibia",2019,"dia",760
"524","Nauru",2019,"dia",4
"525","Nepal",2019,"dia",6440
"526","Netherlands",2019,"dia",36
"527","New Zealand",2019,"dia",22
"528","Nicaragua",2019,"dia",238
"529","Niger",2019,"dia",970
"530","Nigeria",2019,"dia",21700
"531","Niue",2019,"dia",0
"532","North Macedonia",2019,"dia",14
"533","Norway",2019,"dia",7
"534","Oman",2019,"dia",50
"535","Pakistan",2019,"dia",58000
"536","Palau",2019,"dia",0
"537","Panama",2019,"dia",127
"538","Papua New Guinea",2019,"dia",3760
"539","Paraguay",2019,"dia",237
"540","Peru",2019,"dia",2610
"541","Philippines",2019,"dia",36500
"542","Poland",2019,"dia",430
"543","Portugal",2019,"dia",129
"544","Qatar",2019,"dia",168
"545","Republic of Korea",2019,"dia",2390
"546","Republic of Moldova",2019,"dia",237
"547","Romania",2019,"dia",820
"548","Russian Federation",2019,"dia",5200
"549","Rwanda",2019,"dia",276
"550","Saint Kitts and Nevis",2019,"dia",0
"551","Saint Lucia",2019,"dia",0
"552","Saint Vincent and the Grenadines",2019,"dia",0
"553","Samoa",2019,"dia",3
"554","Sao Tome and Principe",2019,"dia",15
"555","Saudi Arabia",2019,"dia",522
"556","Senegal",2019,"dia",1240
"557","Serbia",2019,"dia",82
"558","Seychelles",2019,"dia",0
"559","Sierra Leone",2019,"dia",1310
"560","Singapore",2019,"dia",183
"561","Slovakia",2019,"dia",12
"562","Slovenia",2019,"dia",6
"563","Solomon Islands",2019,"dia",47
"564","Somalia",2019,"dia",2050
"565","South Africa",2019,"dia",33400
